date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:48	313398/313398	---MCZ	200	added ('OK')	image/svg+xml	etag:%222c41c87-4c836-5118c94bb3781%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.svg?v=4.3.0	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfonte0a5.svg	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
17:02:49	66327/66327	---M-Z	200	added ('OK')	text/html	etag:%222c40bd1-10317-515d1ceae6ca0%22	http://martaniandemo.com/html/insurance/blog-single.html	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/blog-single.html	(from http://martaniandemo.com/html/insurance/blog.html)
17:02:54	71508/71508	---MCZ	200	added ('OK')	text/plain	etag:%222c41c89-11754-5118c94c1713b%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.woff?v=4.3.0	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfonte0a5.woff	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
17:02:54	122092/122092	---MCZ	200	added ('OK')	text/plain	etag:%222c41c88-1dcec-5118c94bd98de%22	http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfont.ttf?v=4.3.0	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_libs/font-awesome/fonts/fontawesome-webfonte0a5.ttf	(from http://martaniandemo.com/html/insurance/_assets/_libs/font-awesome/css/font-awesome.css)
17:03:17	140678/140678	---M--	200	added ('OK')	image/jpeg	etag:%222c410d0-22586-514b0241b54aa%22	http://martaniandemo.com/html/insurance/_assets/_img/watching-cartoons-in-the-net.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/watching-cartoons-in-the-net.jpg	(from http://martaniandemo.com/html/insurance/get-a-life-insurance-quote.html)
17:03:20	611764/611764	---M--	200	added ('OK')	image/jpeg	etag:%222c407a3-955b4-514c85b7a1707%22	http://martaniandemo.com/html/insurance/_assets/_img/playing-with-child.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/playing-with-child.jpg	(from http://martaniandemo.com/html/insurance/index.html)
17:03:50	827016/827016	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%222c40768-c9e88-5122fbe8a433e%22	http://martaniandemo.com/html/insurance/_assets/_img/pretty-woman-in-office.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/pretty-woman-in-office.jpg	(from http://martaniandemo.com/html/insurance/index.html)
17:03:51	396/396	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202015%2006:03:48%20GMT	http://martaniandemo.com/html/insurance/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/sdk.js)
17:03:52	345/345	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2019%20Oct%202015%2006:03:48%20GMT	http://martaniandemo.com/html/insurance/%s/profile.php?id=%s	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/%s/profile4d6d.php	(from http://connect.facebook.net/en_US/sdk.js)
17:03:52	339/339	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Oct%202015%2006:03:49%20GMT	http://martaniandemo.com/html/insurance/dialog/	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/dialog/index.html	(from http://connect.facebook.net/en_US/sdk.js)
17:03:54	843829/843829	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%222c41c7c-ce035-5118c949a03a1%22	http://martaniandemo.com/html/insurance/_assets/_img/happy-couple-in-cafe-using-digital-tablet.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/happy-couple-in-cafe-using-digital-tablet.jpg	(from http://martaniandemo.com/html/insurance/index.html)
17:04:10	617219/617219	---M--	200	added ('OK')	image/jpeg	etag:%222c41009-96b03-51474c4e6e3dc%22	http://martaniandemo.com/html/insurance/_assets/_img/travel-lovers.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/travel-lovers.jpg	(from http://martaniandemo.com/html/insurance/get-a-travel-insurance-quote.html)
17:04:13	649476/649476	---M--	200	added ('OK')	image/jpeg	etag:%222c4101e-9e904-514777bed57cd%22	http://martaniandemo.com/html/insurance/_assets/_img/pretty-blonde-woman-standing-hands-on-hips-on-wooden-background.jpg	c:/lamp/www/fin2/ff/martaniandemo.com/html/insurance/_assets/_img/pretty-blonde-woman-standing-hands-on-hips-on-wooden-background.jpg	(from http://martaniandemo.com/html/insurance/claims.html)
